courseID,courseTitle,URL,outcomeLearning,provider,technologySkill,rating,peopleRating,numStudent,duration,durationSecond,fee,feeVND,level,majobSubject,language
COURSE_288,"Learn the Basics of Android",https://www.codecademy.com/learn/learn-the-basics-of-android,"Learn why developing for Android is such a great move and get started with Android Studio—the Android Integrated Development Environment. Dive into Android Studio—learn how to start a project, run an app on a device, and make your first Android app. Learn Android Development fundamentals and sharpen your skills building a calculator app",Codecademy,"Android, Android Studio",4.6,9794,4500000,3:00:00,10800,0,0,Intermediate,"Mobile Development",English
COURSE_289,"CS101 Livestream Series",https://www.codecademy.com/learn/cs-101-livestream-series,"Welcome to CS 101. This module provides an introduction to key concepts in many programming languages: variables, operators, and datatypes. This module takes you through functions as a programming concept, functions in Python, and also some practice problems. Learn how to control the flow of code execution in Python. Learn how to store and manipulate data in Python using lists. Learn how to create loops in Python. Learn how to how to use strings in Python. Learn how to create and use dictionaries in Python. Learn how to create Classes in Python",Codecademy,Python,4.6,9794,4500000,10:00:00,36000,0,0,Beginner,"Language Programming",English
COURSE_290,"How to Clean Data with Python",https://www.codecademy.com/learn/practical-data-cleaning,"Some say data scientists spend 80% of their time cleaning data and 20% of their time doing analysis. Learn how to do this 80% in Python",Codecademy,Python,4.6,9794,4500000,2:00:00,7200,0,0,Intermediate,"Data Science",English
COURSE_291,"Learn Web Scraping with Beautiful Soup",https://www.codecademy.com/learn/learn-web-scraping,"Learn how to take data that's displayed on websites and put it into Python using the Beautiful Soup library",Codecademy,"Beautiful Soup, Python, HTML, XML, Pandas",4.6,9794,4500000,1:00:00,3600,0,0,Intermediate,"Language Programming",English
COURSE_292,"Linear Data Structures",https://www.codecademy.com/learn/linear-data-structures,"Learn about the building block for other data structures - the node. After learning the concepts behind it, you will implement it in Python. Learn about Linked Lists, one of the most common data structures that can be used to implement many other abstract data types. Learn about the first-in-last-out data structure called a "stack". Study it conceptually and use it in practice. Apply what you've learned to the famous Towers of Hanoi problem. Learn about the first-in-first-out data structure called a "queue". Study it conceptually and implement it in Python.",Codecademy,"Node.js, Python",4.6,9794,4500000,8:00:00,28800,0,0,Intermediate,"Web Development",English
COURSE_293,"Technical Interview Practice with JavaScript",https://www.codecademy.com/learn/technical-interview-practice-with-javascript,"Learn Big-O notation and how to determine the complexity of algorithms. Learn how to approach problem-solving for technical interviews. Practice implementing classic algorithms in JavaScript.",Codecademy,"Big Data, JavaScript",4.6,9794,4500000,3:00:00,10800,0,0,Intermediate,"Language Programming",English
COURSE_294,"Learn Node.js",https://www.codecademy.com/learn/learn-node-js,"Learn about the different components of a web application's back-end and explore the Node.js JavaScript runtime environment",Codecademy,"Node.js, JavaScript, HTML, Express.js",4.6,9794,4500000,1:00:00,3600,0,0,Intermediate,"Web Development",English
COURSE_295,"Study for the AP Computer Science A Exam",https://www.codecademy.com/learn/paths/ap-computer-science-a,"Writing you first Java program. Learn how to write object-oriented programs by building your own classes. Then take a look at some of the most common built-in Java classes. Conditionals and Control Flow. Learn how to use conditionals - one of the most important tools in programming. Take a deeper look at how classes work in Java. Explore String methods as well as some of the more advanced features of your own classes. Create arrays and ArrayLists, loop through those data structures, and ultimately create two-dimensional versions of these objects. It's time to put your Java knowledge to the test! Try solving some of our code challenges involving arrays, loops, strings, and more! What is an algorithm? How do we know if an algorithm is efficient? Let's dive into some of these Computer Science concepts. Learn how all classes are related through inheritance and polymorphism.",Codecademy,"Java, OOP",4.6,9794,1625989,6:00:00,21600,0,0,Beginner,"Computer Science",English
COURSE_296,"Learn Ruby on Rails",https://www.codecademy.com/learn/learn-rails,"Get up and running quickly by building a Rails app from scratch. Learn how to add a database to a Rails app. Use assocations to model one-to-many relationships. Model many-to-many relationships to build powerful Rails apps. Take what you learned in this course and put it all together with these projects.",Codecademy,"Ruby on Rails",4.6,9794,206922,10:00:00,36000,0,0,Intermediate,"Web Development",English
COURSE_297,"Learn Go",https://www.codecademy.com/learn/learn-go,"Ready to learn how to use Google's new programming language, Go? Learn about creating and storing values in Go by using variables. Use different types to indicate what values those variables store. If you want to learn about implementing conditionals in Go, you've come to the right place. Learn how to write Go functions in this action-packed course!",Codecademy,Go,4.6,9794,4500000,9:00:00,32400,0,0,Beginner,"Software Development",English
COURSE_298,"Windows Phone Mobile App Development",https://www.udemy.com/course/windows-phone-mobile-app-development/,"This course is an introduction to mobile application development, including market opportunities, challenges, and architectural models. Course covers an overview of development concepts found in Microsoft Mobile 8.1. Become familiar with the end-to-end process to install, develop, test, and distribute mobile applications. As mobile environments are changing rapidly, this course provides a broader understanding for specialization in one of these major platforms. Prepare to deal with the challenges of application development for the mobile market including limited screen size and memory, gesture based GUI, connectivity, and the variety of available phones. This hands-on class provides unique and valuable content on how to contrast the approaches taken by the major mobile players.",Udemy,"Microsoft Mobile 8.1, UI",4.3,15,115,2:05:00,7500,0,0,Beginner,"Mobile Development",English
COURSE_299,"The Complete WordPress Website Business Course",https://www.udemy.com/course/the-complete-wordpress-website-business-course/,"Learn to set up local development environments to play with Wordpress websites in private, on your own computer. Evaluate and choose hosting for your own websites and client sites, with insights from 15 years of hosting client websites.",Udemy,WordPress,4.3,13702,71525,22:02:00,79320,17.99,414166,Beginner,"Web Development","English, Indonesian, Italian, Polish, Portuguese, Romanian"
COURSE_300,"Become a WordPress Developer: Unlocking Power With Code",https://www.udemy.com/course/become-a-wordpress-developer-php-javascript/,"Install WordPress on your personal computer so you have a private playground copy of WordPress to practice and experiment with. Get introduced to the PHP language (this is what powers WordPress). Set Up a New Theme (You'll learn how to convert any HTML template into a living breathing WordPress theme). Create Custom Post Types and Custom Fields. Relate pieces of content with each other (e.g. a professor and a program). Learn the basics of (object-oriented) JavaScript. Leverage the WP REST API. Learn to use JavaScript to communicate with the WordPress back-end on-the-fly. Let visitors sign up for a basic account on our site. Build a "My Notes" feature (user specific single page application with real-time CRUD actions). Let users "like" or "heart" a professor (update the professor's like count on-the-fly). Deploy our website live up onto the web for the entire world to view.",Udemy,"WordPress, JavaScript, PHP, HTML, CRUD, RESTful API",4.7,14601,60865,2:38:00,9480,17.99,414166,Intermediate,"Web Development","English, French, German, Italian, Polish, Portuguese, Spanish"
